chrom,position,ref_reads,alt_reads
chr3,1024530,77,108
chr3,1024540,139,58
chr2,1024550,55,27
chr2,1024560,60,75
chr1,1024570,10,71
chr3,1024580,11,15
chr3,1024590,152,22
chr2,1024600,60,51
chr1,1024610,4,29
chr3,1024620,93,12
chr3,1024630,15,137
chr1,1024640,16,133
chr2,1024650,73,8
chr2,1024660,25,143
chr3,1024670,56,42
chr1,1024680,25,143
chr1,1024690,104,53
chr1,1024700,42,35
chr3,1024710,55,84
chr2,1024720,37,149
chr2,1024730,141,11
chr2,1024740,41,43
chr2,1024750,26,6
chr2,1024760,60,41
chr3,1024770,117,75
chr3,1024780,91,88
chr2,1024790,128,55
chr2,1024800,124,34
chr3,1024810,136,32
chr2,1024820,67,4
chr2,1024830,70,66
chr2,1024840,3,42
chr1,1024850,46,7
chr2,1024860,7,64
chr1,1024870,36,95
chr2,1024880,40,61
chr2,1024890,72,127
chr3,1024900,32,144
chr3,1024910,155,30
chr3,1024920,31,30
chr1,1024930,7,33
chr1,1024940,30,31
chr2,1024950,39,121
chr1,1024960,118,14
chr3,1024970,37,87
chr1,1024980,18,18
chr2,1024990,79,60
chr1,1025000,91,65
chr3,1025010,63,125
chr2,1025020,14,134
chr1,1025030,78,71
chr2,1025040,27,52
chr2,1025050,33,34
chr1,1025060,40,8
chr2,1025070,103,13
chr1,1025080,26,3
chr3,1025090,47,30
chr3,1025100,23,17
chr1,1025110,18,29
chr1,1025120,15,38
chr2,1025130,27,0
chr1,1025140,136,60
chr2,1025150,70,28
chr3,1025160,69,95
chr1,1025170,87,19
chr3,1025180,84,23
chr1,1025190,15,177
chr3,1025200,15,73
chr1,1025210,144,35
chr1,1025220,111,80
chr2,1025230,69,37
chr2,1025240,26,94
chr1,1025250,8,19
chr2,1025260,79,17
chr1,1025270,20,86
chr1,1025280,43,19
chr3,1025290,103,45
chr2,1025300,74,54
chr2,1025310,95,103
chr3,1025320,113,58
chr1,1025330,121,50
chr2,1025340,22,14
chr1,1025350,139,13
chr2,1025360,36,131
chr2,1025370,30,10
chr1,1025380,67,10
chr1,1025390,66,112
chr2,1025400,29,100
chr3,1025410,35,123
chr3,1025420,107,92
chr3,1025430,128,34
chr3,1025440,38,116
chr3,1025450,15,32
chr1,1025460,54,16
chr2,1025470,4,20
chr3,1025480,20,4
chr2,1025490,7,106
chr1,1025500,15,100
chr2,1025510,9,18
chr1,1025520,5,78
chr2,1025530,58,99
chr2,1025540,48,9
chr1,1025550,69,61
chr2,1025560,114,17
chr1,1025570,59,41
chr2,1025580,45,110
chr2,1025590,79,44
chr3,1025600,102,70
chr2,1025610,42,50
chr3,1025620,33,164
chr3,1025630,61,7
chr1,1025640,36,19
chr1,1025650,113,32
chr2,1025660,21,66
chr1,1025670,81,16
chr3,1025680,53,71
chr2,1025690,122,66
chr1,1025700,119,22
chr1,1025710,10,128
chr1,1025720,123,10
chr3,1025730,18,11
chr1,1025740,162,6
chr2,1025750,109,74
chr2,1025760,77,82
chr2,1025770,73,37
chr3,1025780,20,1
chr1,1025790,90,47
chr2,1025800,13,19
chr1,1025810,45,134
chr1,1025820,45,69
chr2,1025830,55,108
chr3,1025840,42,9
chr2,1025850,31,20
chr2,1025860,113,30
chr3,1025870,21,9
chr1,1025880,16,13
chr1,1025890,12,22
chr3,1025900,15,21
chr2,1025910,16,171
chr3,1025920,125,40
chr2,1025930,47,125
chr3,1025940,14,64
chr1,1025950,43,54
chr3,1025960,105,38
chr3,1025970,83,50
chr2,1025980,38,3
chr2,1025990,116,61
chr2,1026000,58,133
chr3,1026010,47,4
chr3,1026020,142,56
chr2,1026030,65,128
chr1,1026040,31,101
chr2,1026050,73,66
chr3,1026060,69,99
chr3,1026070,79,62
chr2,1026080,41,10
chr2,1026090,82,56
chr3,1026100,26,32
chr3,1026110,4,27
chr1,1026120,171,23
chr2,1026130,20,17
chr2,1026140,108,60
chr1,1026150,80,80
chr3,1026160,159,9
chr3,1026170,90,55
chr1,1026180,32,123
chr2,1026190,29,36
chr3,1026200,61,62
chr1,1026210,109,45
chr1,1026220,116,54
chr1,1026230,77,28
chr3,1026240,27,142
chr3,1026250,7,101
chr1,1026260,23,18
chr1,1026270,67,44
chr3,1026280,10,38
chr3,1026290,18,14
chr3,1026300,8,13
chr3,1026310,38,10
chr3,1026320,48,151
chr1,1026330,24,22
chr3,1026340,15,54
chr3,1026350,25,89
chr1,1026360,139,31
chr1,1026370,37,70
chr2,1026380,9,54
chr3,1026390,23,18
chr2,1026400,154,36
chr2,1026410,178,6
chr1,1026420,56,60
chr1,1026430,14,8
chr2,1026440,60,77
chr2,1026450,31,7
chr2,1026460,11,31
chr2,1026470,117,59
chr3,1026480,33,16
chr2,1026490,32,26
chr1,1026500,53,74
chr2,1026510,91,39
chr2,1026520,29,15
chr1,1026530,124,23
chr2,1026540,36,94
chr1,1026550,35,120
chr3,1026560,59,66
chr3,1026570,55,108
chr1,1026580,24,67
chr3,1026590,125,23
chr3,1026600,8,119
chr3,1026610,3,21
chr1,1026620,16,6
chr2,1026630,108,43
chr3,1026640,105,18
chr2,1026650,72,11
chr2,1026660,26,99
chr3,1026670,58,59
chr3,1026680,8,21
chr2,1026690,54,114
chr3,1026700,50,97
chr1,1026710,18,47
chr1,1026720,157,17
chr3,1026730,60,25
chr2,1026740,79,109
chr3,1026750,123,8
chr1,1026760,30,2
chr2,1026770,28,128
chr3,1026780,65,118
chr1,1026790,69,36
chr2,1026800,42,67
chr1,1026810,22,55
chr3,1026820,53,20
chr3,1026830,26,5
chr1,1026840,3,30
chr1,1026850,90,50
chr1,1026860,149,32
chr1,1026870,67,73
chr1,1026880,10,29
chr2,1026890,65,29
chr3,1026900,114,49
chr2,1026910,69,20
chr1,1026920,3,72
chr2,1026930,96,24
chr3,1026940,63,88
chr1,1026950,11,119
chr1,1026960,119,25
chr3,1026970,12,139
chr2,1026980,3,36
chr3,1026990,17,140
chr3,1027000,36,7
chr2,1027010,59,114
chr2,1027020,16,40
chr1,1027030,2,71
chr1,1027040,97,25
chr1,1027050,45,123
chr3,1027060,37,20
chr2,1027070,158,35
chr2,1027080,16,7
chr1,1027090,20,56
chr3,1027100,110,82
chr3,1027110,20,19
chr2,1027120,4,32
chr2,1027130,84,54
chr2,1027140,32,58
chr2,1027150,15,8
chr3,1027160,18,15
chr1,1027170,10,12
chr2,1027180,9,90
chr2,1027190,32,42
chr2,1027200,31,120
chr3,1027210,124,15
chr1,1027220,29,14
chr3,1027230,85,96
chr1,1027240,161,16
chr3,1027250,67,34
chr2,1027260,86,80
chr2,1027270,164,14
chr1,1027280,59,20
chr3,1027290,86,80
chr1,1027300,30,38
chr3,1027310,12,70
chr2,1027320,49,80
chr1,1027330,92,77
chr1,1027340,14,157
chr2,1027350,26,102
chr2,1027360,73,22
chr2,1027370,40,9
chr2,1027380,30,47
chr2,1027390,69,67
chr2,1027400,53,125
chr3,1027410,43,76
chr3,1027420,13,25
chr1,1027430,22,173
chr3,1027440,88,104
chr1,1027450,95,18
chr3,1027460,26,106
chr3,1027470,133,32
chr2,1027480,16,66
chr3,1027490,15,120
chr3,1027500,37,95
chr3,1027510,23,43
chr2,1027520,44,32
chr2,1027530,82,55
chr3,1027540,37,27
chr1,1027550,65,115
chr3,1027560,50,114
chr2,1027570,10,13
chr2,1027580,137,30
chr1,1027590,34,32
chr2,1027600,38,124
chr2,1027610,37,29
chr3,1027620,45,52
chr1,1027630,45,98
chr2,1027640,29,65
chr2,1027650,84,38
chr3,1027660,21,135
chr3,1027670,88,21
chr3,1027680,10,153
chr3,1027690,76,12
chr1,1027700,79,1
chr3,1027710,19,138
chr1,1027720,51,18
chr2,1027730,5,17
chr2,1027740,31,95
chr3,1027750,18,114
chr3,1027760,10,103
chr3,1027770,89,48
chr2,1027780,27,73
chr2,1027790,99,29
chr2,1027800,43,27
chr1,1027810,40,126
chr2,1027820,122,67
chr3,1027830,27,27
chr1,1027840,30,35
chr1,1027850,72,101
chr1,1027860,5,83
chr2,1027870,97,15
chr2,1027880,30,53
chr2,1027890,31,153
chr2,1027900,37,31
chr3,1027910,157,11
chr1,1027920,37,56
chr1,1027930,16,8
chr1,1027940,101,18
chr1,1027950,16,73
chr1,1027960,52,57
chr3,1027970,0,23
chr3,1027980,35,110
chr1,1027990,19,39
chr1,1028000,174,8
chr2,1028010,80,68
chr1,1028020,32,11
chr3,1028030,10,66
chr2,1028040,101,18
chr3,1028050,61,28
chr2,1028060,32,28
chr2,1028070,145,48
chr1,1028080,59,20
chr3,1028090,44,83
chr3,1028100,65,11
chr1,1028110,48,2
chr2,1028120,63,40
chr2,1028130,44,127
chr3,1028140,25,30
chr1,1028150,112,65
chr1,1028160,81,90
chr3,1028170,90,37
chr2,1028180,13,112
chr2,1028190,162,15
chr1,1028200,39,66
chr2,1028210,25,129
chr2,1028220,43,139
chr2,1028230,27,6
chr3,1028240,104,35
chr1,1028250,45,112
chr3,1028260,81,18
chr3,1028270,43,120
chr2,1028280,39,86
chr1,1028290,27,62
chr2,1028300,52,11
chr1,1028310,33,59
chr2,1028320,23,41
chr1,1028330,30,96
chr1,1028340,96,7
chr2,1028350,96,5
chr2,1028360,75,51
chr3,1028370,35,5
chr3,1028380,94,103
chr1,1028390,24,156
chr2,1028400,15,11
chr2,1028410,23,66
chr3,1028420,137,9
chr2,1028430,127,35
chr1,1028440,161,18
chr1,1028450,105,62
chr1,1028460,24,138
chr3,1028470,163,32
chr1,1028480,71,97
chr3,1028490,104,85
chr3,1028500,23,150
chr1,1028510,118,21
chr3,1028520,105,42
chr3,1028530,150,11
chr1,1028540,47,29
chr1,1028550,129,55
chr3,1028560,10,67
chr3,1028570,19,21
chr2,1028580,33,68
chr1,1028590,43,45
chr2,1028600,127,23
chr3,1028610,62,44
chr2,1028620,11,173
chr3,1028630,15,53
chr2,1028640,27,139
chr3,1028650,24,110
chr3,1028660,92,16
chr3,1028670,70,34
chr1,1028680,139,8
chr3,1028690,108,51
chr1,1028700,153,35
chr3,1028710,105,75
chr2,1028720,67,130
chr3,1028730,27,109
chr3,1028740,52,94
chr2,1028750,11,79
chr3,1028760,96,9
chr3,1028770,50,2
chr3,1028780,40,60
chr2,1028790,116,55
chr3,1028800,57,23
chr1,1028810,47,33
chr1,1028820,78,39
chr1,1028830,16,31
chr1,1028840,40,22
chr2,1028850,99,89
chr3,1028860,68,118
chr1,1028870,58,47
chr3,1028880,135,61
chr3,1028890,24,12
chr2,1028900,80,37
chr3,1028910,30,87
chr1,1028920,28,56
chr1,1028930,32,61
chr2,1028940,74,30
chr1,1028950,12,12
chr1,1028960,2,19
chr2,1028970,21,20
chr2,1028980,56,75
chr1,1028990,41,35
chr2,1029000,39,46
chr2,1029010,35,58
chr1,1029020,102,15
chr1,1029030,46,117
chr2,1029040,108,23
chr3,1029050,175,23
chr3,1029060,9,135
chr1,1029070,18,168
chr1,1029080,99,6
chr3,1029090,48,47
chr2,1029100,81,26
chr3,1029110,97,90
chr3,1029120,8,49
chr1,1029130,7,71
chr2,1029140,53,104
chr3,1029150,81,37
chr2,1029160,26,56
chr1,1029170,49,19
chr3,1029180,8,43
chr1,1029190,25,129
chr3,1029200,13,27
chr2,1029210,26,13
chr1,1029220,115,58
chr2,1029230,137,9
chr3,1029240,17,70
chr1,1029250,72,57
chr2,1029260,80,55
chr2,1029270,85,77
chr3,1029280,39,100
chr1,1029290,79,19
chr2,1029300,21,114
chr1,1029310,16,95
chr1,1029320,3,30
chr1,1029330,96,78
chr1,1029340,109,35
chr3,1029350,121,66
chr2,1029360,53,24
chr1,1029370,38,9
chr2,1029380,22,23
chr2,1029390,61,71
chr2,1029400,11,74
chr3,1029410,159,13
chr1,1029420,47,103
chr1,1029430,16,47
chr2,1029440,24,92
chr2,1029450,8,53
chr3,1029460,5,20
chr3,1029470,18,168
chr2,1029480,131,68
chr1,1029490,25,17
chr3,1029500,98,10
chr1,1029510,138,4
chr3,1029520,146,51
chr1,1029530,166,24
chr2,1029540,121,45
chr3,1029550,55,15
chr2,1029560,28,2
chr3,1029570,4,27
chr2,1029580,89,4
chr3,1029590,9,18
chr3,1029600,150,21
chr3,1029610,4,56
chr1,1029620,24,159
chr1,1029630,36,68
chr3,1029640,31,60
chr2,1029650,72,2
chr2,1029660,12,144
chr3,1029670,5,61
chr1,1029680,24,138
chr1,1029690,73,122
chr1,1029700,89,34
chr1,1029710,5,56
chr2,1029720,53,26
chr3,1029730,15,16
chr3,1029740,129,20
chr3,1029750,3,23
chr2,1029760,77,22
chr1,1029770,110,40
chr1,1029780,56,72
chr2,1029790,9,13
chr2,1029800,21,25
chr3,1029810,91,42
chr3,1029820,117,9
chr2,1029830,21,38
chr2,1029840,12,168
chr2,1029850,32,116
chr1,1029860,14,13
chr3,1029870,16,104
chr2,1029880,98,81
chr2,1029890,58,85
chr1,1029900,96,99
chr2,1029910,65,61
chr3,1029920,34,86
chr1,1029930,12,11
chr2,1029940,76,53
chr3,1029950,23,15
chr3,1029960,45,6
chr1,1029970,69,87
chr3,1029980,24,7
chr1,1029990,124,34
chr3,1030000,29,36
chr2,1030010,37,101
chr1,1030020,12,23
chr3,1030030,80,68
chr1,1030040,15,67
chr3,1030050,14,114
chr1,1030060,35,103
chr2,1030070,18,22
chr1,1030080,112,65
chr1,1030090,0,32
chr2,1030100,137,44
chr3,1030110,17,6
chr2,1030120,88,87
chr1,1030130,109,12
chr2,1030140,8,70
chr2,1030150,58,89
chr1,1030160,21,25
chr1,1030170,37,51
chr2,1030180,17,27
chr1,1030190,137,13
chr3,1030200,33,83
chr3,1030210,15,29
chr3,1030220,91,76
chr3,1030230,50,131
chr2,1030240,134,39
chr2,1030250,110,35
chr2,1030260,120,32
chr1,1030270,21,7
chr2,1030280,34,101
chr2,1030290,31,166
chr1,1030300,96,57
chr1,1030310,34,45
chr1,1030320,55,136
chr3,1030330,99,41
chr2,1030340,125,33
chr2,1030350,13,181
chr2,1030360,47,80
chr1,1030370,10,117
chr2,1030380,98,52
chr3,1030390,32,63
chr2,1030400,35,14
chr2,1030410,27,13
chr1,1030420,79,96
chr3,1030430,123,57
chr2,1030440,146,36
chr1,1030450,144,55
chr3,1030460,50,3
chr3,1030470,11,49
chr1,1030480,35,35
chr1,1030490,166,28
chr1,1030500,74,27
chr1,1030510,60,17
chr1,1030520,35,59
chr1,1030530,37,5
chr2,1030540,42,153
chr1,1030550,141,6
chr1,1030560,117,52
chr3,1030570,7,29
chr3,1030580,26,62
chr3,1030590,111,16
chr1,1030600,44,114
chr1,1030610,54,59
chr2,1030620,6,28
chr2,1030630,44,66
chr2,1030640,50,132
chr2,1030650,3,49
chr1,1030660,100,44
chr3,1030670,13,22
chr1,1030680,97,84
chr1,1030690,79,6
chr1,1030700,174,13
chr1,1030710,149,26
chr3,1030720,28,38
chr3,1030730,77,109
chr2,1030740,73,94
chr1,1030750,133,10
chr2,1030760,10,10
chr3,1030770,14,92
chr3,1030780,82,65
chr2,1030790,28,58
chr3,1030800,4,19
chr3,1030810,41,131
chr1,1030820,31,35
chr1,1030830,11,46
chr3,1030840,91,71
chr3,1030850,3,37
chr2,1030860,52,24
chr2,1030870,91,45
chr3,1030880,56,9
chr1,1030890,33,128
chr1,1030900,87,77
chr2,1030910,41,17
chr1,1030920,115,41
chr1,1030930,19,99
chr2,1030940,16,80
chr2,1030950,57,77
chr1,1030960,68,85
chr2,1030970,91,79
chr3,1030980,67,43
chr2,1030990,10,107
chr3,1031000,112,27
chr3,1031010,33,32
chr3,1031020,34,23
chr2,1031030,82,79
chr2,1031040,63,56
chr2,1031050,43,48
chr3,1031060,40,14
chr2,1031070,80,86
chr1,1031080,28,21
chr1,1031090,76,21
chr2,1031100,94,9
chr3,1031110,42,90
chr2,1031120,27,17
chr1,1031130,78,109
chr3,1031140,30,77
chr2,1031150,13,20
chr2,1031160,91,82
chr3,1031170,72,49
chr3,1031180,105,64
chr1,1031190,74,121
chr2,1031200,47,55
chr1,1031210,23,106
chr1,1031220,28,170
chr3,1031230,125,25
chr2,1031240,151,38
chr1,1031250,15,23
chr1,1031260,30,17
chr3,1031270,183,9
chr2,1031280,12,78
chr2,1031290,56,26
chr1,1031300,11,81
chr3,1031310,46,97
chr2,1031320,38,100
chr2,1031330,108,32
chr1,1031340,28,10
chr2,1031350,83,111
chr2,1031360,130,31
chr2,1031370,89,50
chr2,1031380,126,59
chr1,1031390,62,18
chr2,1031400,127,56
chr2,1031410,42,145
chr3,1031420,40,9
chr1,1031430,26,2
chr2,1031440,23,60
chr3,1031450,15,165
chr1,1031460,95,44
chr2,1031470,56,15
chr3,1031480,51,57
chr1,1031490,21,140
chr2,1031500,19,53
chr3,1031510,32,65
chr1,1031520,38,22
chr3,1031530,39,48
chr3,1031540,25,2
chr2,1031550,6,15
chr3,1031560,43,81
chr2,1031570,9,135
chr2,1031580,89,40
chr3,1031590,96,9
chr3,1031600,92,96
chr3,1031610,47,92
chr3,1031620,41,105
chr1,1031630,28,7
chr2,1031640,57,24
chr3,1031650,53,79
chr1,1031660,123,72
chr3,1031670,28,149
chr1,1031680,16,15
chr2,1031690,10,44
chr3,1031700,16,14
chr1,1031710,20,63
chr1,1031720,40,29
chr2,1031730,36,132
chr3,1031740,62,26
chr3,1031750,27,40
chr2,1031760,30,9
chr2,1031770,58,62
chr2,1031780,111,80
chr1,1031790,131,49
chr1,1031800,15,141
chr2,1031810,72,15
chr3,1031820,15,39
chr1,1031830,7,77
chr2,1031840,24,3
chr1,1031850,19,45
chr1,1031860,74,32
chr2,1031870,179,15
chr3,1031880,117,70
chr3,1031890,7,88
chr1,1031900,91,4
chr3,1031910,75,118
chr3,1031920,31,35
chr2,1031930,7,27
chr2,1031940,112,12
chr2,1031950,60,106
chr3,1031960,14,31
chr3,1031970,22,49
chr2,1031980,10,102
chr3,1031990,40,129
chr2,1032000,39,1
chr1,1032010,27,43
chr1,1032020,32,25
chr3,1032030,24,15
chr3,1032040,102,74
chr3,1032050,117,81
chr3,1032060,85,66
chr1,1032070,5,69
chr2,1032080,98,13
chr1,1032090,6,41
chr2,1032100,13,10
chr3,1032110,59,110
chr2,1032120,18,77
chr2,1032130,113,79
chr2,1032140,46,40
chr2,1032150,50,55
chr1,1032160,112,69
chr3,1032170,8,102
chr3,1032180,26,98
chr2,1032190,18,2
chr3,1032200,78,13
chr1,1032210,60,46
chr2,1032220,162,23
chr3,1032230,10,15
chr3,1032240,147,25
chr2,1032250,92,72
chr1,1032260,73,7
chr2,1032270,23,8
chr2,1032280,8,17
chr3,1032290,19,27
chr3,1032300,9,146
chr2,1032310,32,111
chr2,1032320,84,41
chr3,1032330,102,10
chr2,1032340,18,110
chr1,1032350,20,98
chr2,1032360,44,143
chr1,1032370,140,21
chr2,1032380,3,51
chr2,1032390,131,64
chr2,1032400,36,67
chr3,1032410,8,67
chr3,1032420,146,50
chr3,1032430,26,134
chr3,1032440,46,22
chr3,1032450,2,63
chr3,1032460,90,42
chr2,1032470,11,144
chr1,1032480,54,8
chr3,1032490,54,113
chr3,1032500,55,88
chr2,1032510,62,54
chr3,1032520,74,35
chr2,1032530,17,41
chr3,1032540,76,28
chr1,1032550,88,108
chr3,1032560,54,27
chr3,1032570,16,109
chr2,1032580,117,9
chr3,1032590,55,18
chr2,1032600,108,37
chr1,1032610,18,10
chr3,1032620,85,22
chr2,1032630,31,25
chr1,1032640,10,58
chr1,1032650,25,35
chr2,1032660,17,19
chr2,1032670,94,13
chr3,1032680,20,20
chr1,1032690,59,11
chr1,1032700,19,59
chr2,1032710,136,50
chr1,1032720,32,28
chr2,1032730,41,17
chr3,1032740,23,137
chr2,1032750,27,3
chr3,1032760,72,94
chr2,1032770,131,27
chr3,1032780,28,68
chr1,1032790,15,131
chr2,1032800,40,25
chr2,1032810,36,28
chr2,1032820,4,16
chr3,1032830,89,98
chr2,1032840,63,64
chr2,1032850,17,21
chr1,1032860,25,70
chr2,1032870,78,13
chr2,1032880,24,104
chr2,1032890,21,10
chr2,1032900,154,26
chr1,1032910,8,56
chr2,1032920,74,35
chr2,1032930,94,28
chr1,1032940,12,15
chr3,1032950,17,155
chr3,1032960,14,96
chr1,1032970,25,168
chr1,1032980,21,85
chr3,1032990,167,10
chr2,1033000,112,82
chr3,1033010,37,159
chr2,1033020,131,63
chr1,1033030,40,63
chr1,1033040,39,62
chr1,1033050,109,56
chr3,1033060,12,75
chr1,1033070,80,100
chr3,1033080,78,68
chr2,1033090,17,166
chr2,1033100,58,43
chr2,1033110,124,42
chr1,1033120,90,85
chr2,1033130,45,142
chr1,1033140,26,77
chr3,1033150,31,101
chr1,1033160,30,65
chr2,1033170,106,35
chr1,1033180,30,132
chr1,1033190,11,49
chr3,1033200,143,43
chr1,1033210,19,2
chr2,1033220,3,45
chr1,1033230,27,97
chr1,1033240,14,56
chr2,1033250,15,79
chr1,1033260,15,14
chr3,1033270,67,94
chr2,1033280,29,41
chr2,1033290,128,9
chr1,1033300,35,105
chr3,1033310,29,29
chr3,1033320,20,27
chr2,1033330,7,15
chr2,1033340,50,53
chr1,1033350,139,35
chr2,1033360,99,37
chr3,1033370,13,8
chr1,1033380,83,29
chr1,1033390,21,164
chr3,1033400,117,33
chr3,1033410,127,36
chr2,1033420,42,71
chr3,1033430,27,32
chr1,1033440,19,2
chr1,1033450,17,83
chr3,1033460,46,142
chr2,1033470,21,10
chr1,1033480,129,53
chr2,1033490,11,73
chr3,1033500,13,61
chr2,1033510,14,50
chr1,1033520,108,12
chr3,1033530,44,37
chr1,1033540,34,34
chr1,1033550,113,33
chr3,1033560,88,84
chr2,1033570,17,25
chr3,1033580,106,65
chr1,1033590,15,42
chr1,1033600,10,37
chr1,1033610,22,18
chr3,1033620,22,104
chr3,1033630,144,21
chr3,1033640,29,154
chr3,1033650,93,25
chr2,1033660,167,25
chr1,1033670,64,74
chr2,1033680,48,44
chr1,1033690,27,114
chr1,1033700,29,20
chr2,1033710,90,37
chr3,1033720,50,67
chr1,1033730,31,20
chr3,1033740,113,62
chr2,1033750,48,143
chr1,1033760,31,67
chr3,1033770,15,45
chr2,1033780,3,79
chr1,1033790,34,8
chr2,1033800,38,85
chr3,1033810,41,53
chr1,1033820,20,47
chr1,1033830,100,79
chr1,1033840,0,76
chr2,1033850,49,88
chr2,1033860,10,109
chr2,1033870,29,114
chr2,1033880,34,146
chr3,1033890,25,146
chr2,1033900,93,93
chr2,1033910,41,12
chr2,1033920,107,68
chr3,1033930,173,11
chr3,1033940,18,8
chr1,1033950,75,109
chr2,1033960,38,37
chr1,1033970,5,79
chr1,1033980,7,59
chr3,1033990,122,45
chr3,1034000,24,14
chr1,1034010,103,73
chr1,1034020,111,54
chr2,1034030,48,134
chr3,1034040,84,106
chr3,1034050,49,96
chr1,1034060,29,129
chr3,1034070,17,51
chr1,1034080,112,20
chr1,1034090,12,45
chr3,1034100,47,36
chr2,1034110,64,24
chr3,1034120,142,13
chr1,1034130,105,76
chr1,1034140,127,68
chr2,1034150,99,36
chr1,1034160,35,49
chr2,1034170,14,36
chr3,1034180,115,36
chr2,1034190,119,13
chr1,1034200,18,110
chr1,1034210,186,11
chr2,1034220,13,75
chr3,1034230,67,110
chr2,1034240,85,54
chr1,1034250,80,27
chr3,1034260,80,6
chr2,1034270,67,27
chr2,1034280,47,17
chr2,1034290,9,14
chr1,1034300,139,34
chr1,1034310,78,96
chr1,1034320,70,123
chr3,1034330,83,43
chr3,1034340,65,5
chr3,1034350,67,2
chr1,1034360,23,2
chr3,1034370,32,46
chr3,1034380,98,46
chr2,1034390,36,126
chr1,1034400,31,18
chr2,1034410,100,89
chr1,1034420,70,71
chr1,1034430,51,93
chr3,1034440,40,16
chr2,1034450,164,25
chr2,1034460,76,67
chr3,1034470,90,30
chr2,1034480,32,22
chr2,1034490,34,72
chr1,1034500,75,78
chr2,1034510,16,21
chr2,1034520,67,65
chr1,1034530,13,35
chr3,1034540,32,64
chr1,1034550,34,44
chr3,1034560,59,135
chr3,1034570,22,123
chr1,1034580,94,70
chr1,1034590,78,50
chr3,1034600,9,32
chr1,1034610,48,39
chr1,1034620,74,14
chr2,1034630,36,148
chr1,1034640,65,3
chr1,1034650,45,115
chr2,1034660,58,123
chr3,1034670,9,119
chr3,1034680,96,9
chr1,1034690,24,48
chr1,1034700,82,60
chr3,1034710,71,35
chr1,1034720,174,24
chr3,1034730,60,90
chr3,1034740,37,24
chr2,1034750,102,15
chr2,1034760,70,109
chr1,1034770,39,89
chr1,1034780,21,49
chr3,1034790,16,88
chr1,1034800,106,87
chr2,1034810,17,129
chr3,1034820,7,33
chr3,1034830,45,18
chr1,1034840,124,34
chr3,1034850,67,55
chr3,1034860,56,31
chr3,1034870,73,75
chr2,1034880,47,64
chr3,1034890,10,33
chr2,1034900,69,75
chr3,1034910,144,16
chr1,1034920,20,110
chr1,1034930,82,35
chr3,1034940,10,148
chr1,1034950,167,31
chr2,1034960,5,31
chr3,1034970,104,14
chr2,1034980,70,31
chr3,1034990,113,10
chr2,1035000,55,116
chr1,1035010,8,30
chr2,1035020,103,81
chr2,1035030,10,94
chr1,1035040,13,14
chr1,1035050,17,30
chr3,1035060,4,20
chr3,1035070,115,49
chr2,1035080,72,48
chr3,1035090,34,149
chr2,1035100,21,116
chr3,1035110,11,155
chr1,1035120,8,75
chr1,1035130,92,18
chr1,1035140,24,112
chr1,1035150,63,54
chr2,1035160,2,28
chr1,1035170,40,33
chr1,1035180,89,103
chr1,1035190,34,32
chr1,1035200,104,55
chr3,1035210,150,18
chr2,1035220,25,133
chr2,1035230,6,18
chr3,1035240,35,4
chr3,1035250,52,136
chr2,1035260,24,41
chr2,1035270,18,13
chr3,1035280,64,25
chr1,1035290,8,28
chr2,1035300,39,95
chr3,1035310,80,86
chr1,1035320,69,104
chr1,1035330,55,12
chr3,1035340,62,65
chr2,1035350,52,19
chr2,1035360,84,31
chr1,1035370,29,60
chr3,1035380,10,111
chr1,1035390,54,40
chr1,1035400,138,42
chr1,1035410,70,100
chr3,1035420,33,129
chr2,1035430,42,132
chr1,1035440,22,176
chr2,1035450,50,51
chr2,1035460,23,88
chr3,1035470,161,37
chr2,1035480,126,68
chr2,1035490,7,16
chr1,1035500,68,86
chr3,1035510,18,110
chr3,1035520,40,142
chr1,1035530,58,9
chr1,1035540,76,16
chr2,1035550,62,29
chr2,1035560,86,49
chr3,1035570,74,118
chr3,1035580,9,91
chr2,1035590,7,93
chr1,1035600,48,84
chr3,1035610,26,89
chr1,1035620,30,61
chr2,1035630,129,37
chr3,1035640,40,42
chr3,1035650,25,32
chr2,1035660,26,60
chr2,1035670,68,20
chr1,1035680,22,10
chr1,1035690,119,75
chr2,1035700,5,45
chr2,1035710,71,62
chr2,1035720,10,31
chr3,1035730,29,83
chr2,1035740,130,60
chr3,1035750,36,50
chr2,1035760,11,62
chr3,1035770,85,72
chr1,1035780,7,54
chr1,1035790,70,13
chr3,1035800,129,16
chr1,1035810,9,31
chr1,1035820,33,155
chr3,1035830,8,163
chr2,1035840,16,38
chr2,1035850,3,46
chr3,1035860,19,57
chr1,1035870,8,58
chr2,1035880,86,96
chr2,1035890,21,17
chr1,1035900,8,125
chr3,1035910,16,11
chr3,1035920,22,23
chr2,1035930,66,66
chr3,1035940,39,51
chr1,1035950,19,30
chr3,1035960,141,13
chr3,1035970,8,78
chr3,1035980,51,33
chr3,1035990,24,31
chr1,1036000,34,10
chr3,1036010,52,4
chr2,1036020,12,8
chr3,1036030,41,121
chr2,1036040,48,8
chr1,1036050,19,141
chr3,1036060,125,30
chr2,1036070,113,39
chr3,1036080,113,34
chr3,1036090,130,16
chr2,1036100,5,15
chr1,1036110,27,156
chr1,1036120,23,31
chr1,1036130,99,24
chr1,1036140,26,16
chr1,1036150,16,12
chr1,1036160,10,43
chr3,1036170,143,50
